** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,2
small-town.txt,44892,1000,5
town.txt,451617,10000,33
large-town.txt,2255053,50000,81
city.txt,4511688,100000,145
large-city.txt,22554540,500000,876
metropolis.txt,45107513,1000000,1564
capital.txt,90209834,2000000,3720
megalopolis.txt,227564229,5000000,10909
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,2
town.txt,451617,10000,15
large-town.txt,2255053,50000,57
city.txt,4511688,100000,97
large-city.txt,22554540,500000,750
metropolis.txt,45107513,1000000,1404
capital.txt,90209834,2000000,2823
megalopolis.txt,227564229,5000000,6944
